id,ascii_len,projNb,selNb,tableNb,aggNb,actual
"./data/ssb_converted/explorative.xml_0|0",422,4,1,3,2,27.0
"./data/ssb_converted/explorative.xml_0|1",422,4,1,3,2,24.0
"./data/ssb_converted/explorative.xml_0|2",567,5,2,4,3,169.0
"./data/ssb_converted/explorative.xml_0|3",726,6,3,5,4,159.0
"./data/ssb_converted/explorative.xml_0|4",542,5,2,4,3,159.0
"./data/ssb_converted/explorative.xml_0|5",542,5,2,4,3,396.0
"./data/ssb_converted/explorative.xml_0|6",503,5,1,4,3,175.0
"./data/ssb_converted/explorative.xml_0|7",604,6,1,5,4,167.0
"./data/ssb_converted/explorative.xml_0|8",569,6,0,5,4,5348.0
"./data/ssb_converted/explorative.xml_0|9",569,6,0,5,4,9300.0
"./data/ssb_converted/explorative.xml_0|10",593,6,0,5,4,29959.0
"./data/ssb_converted/explorative.xml_0|11",627,6,1,5,4,177.0
"./data/ssb_converted/explorative.xml_0|12",666,6,2,5,4,158.0
"./data/ssb_converted/explorative.xml_0|13",756,7,2,5,5,159.0
"./data/ssb_converted/explorative.xml_0|14",756,7,2,5,5,158.0
"./data/ssb_converted/explorative.xml_0|15",793,7,3,5,5,162.0
"./data/ssb_converted/explorative.xml_0|16",787,7,3,5,5,159.0
"./data/ssb_converted/explorative.xml_0|17",748,7,2,5,5,159.0
"./data/ssb_converted/explorative.xml_0|18",658,6,2,5,4,164.0
"./data/ssb_converted/explorative.xml_0|19",703,6,3,5,4,169.0
"./data/ssb_converted/explorative.xml_0|20",694,6,3,5,4,143.0
"./data/ssb_converted/explorative.xml_0|21",660,6,2,5,4,629.0
"./data/ssb_converted/explorative.xml_0|22",695,6,3,5,4,144.0
"./data/ssb_converted/explorative.xml_0|23",650,6,2,5,4,143.0
"./data/ssb_converted/explorative.xml_0|24",613,6,1,5,4,152.0
"./data/ssb_converted/explorative.xml_1|1",218,3,0,2,1,100.0
"./data/ssb_converted/explorative.xml_1|2",338,4,0,3,2,195.0
"./data/ssb_converted/explorative.xml_1|3",238,3,0,2,1,262.0
"./data/ssb_converted/explorative.xml_1|4",383,4,1,3,2,205.0
"./data/ssb_converted/explorative.xml_1|5",542,5,2,4,3,67.0
"./data/ssb_converted/explorative.xml_1|6",642,6,2,5,4,209.0
"./data/ssb_converted/explorative.xml_1|7",603,6,1,5,4,195.0
"./data/ssb_converted/explorative.xml_1|8",568,6,0,5,4,4288.0
"./data/ssb_converted/explorative.xml_1|9",607,6,1,5,4,640.0
"./data/ssb_converted/explorative.xml_1|10",631,6,1,5,4,632.0
"./data/ssb_converted/explorative.xml_1|11",625,6,1,5,4,634.0
"./data/ssb_converted/explorative.xml_1|12",616,6,1,5,4,633.0
"./data/ssb_converted/explorative.xml_1|13",577,6,0,5,4,9974.0
"./data/ssb_converted/explorative.xml_1|14",583,6,0,5,4,9791.0
"./data/ssb_converted/explorative.xml_1|15",667,6,1,5,4,560.0
"./data/ssb_converted/explorative.xml_1|16",706,6,2,5,4,550.0
"./data/ssb_converted/explorative.xml_1|17",622,6,1,5,4,645.0
"./data/ssb_converted/explorative.xml_1|18",631,6,1,5,4,644.0
"./data/ssb_converted/explorative.xml_1|19",573,5,1,5,3,630.0
"./data/ssb_converted/explorative.xml_1|20",664,6,1,5,4,556.0
"./data/ssb_converted/explorative.xml_1|21",701,6,2,5,4,550.0
"./data/ssb_converted/explorative.xml_1|22",600,6,1,4,4,551.0
"./data/ssb_converted/explorative.xml_1|23",701,6,2,5,4,550.0
"./data/ssb_converted/explorative.xml_1|24",695,6,2,5,4,556.0
"./data/ssb_converted/explorative.xml_2|2",263,3,1,2,1,166.0
"./data/ssb_converted/explorative.xml_2|3",383,4,1,3,2,23.0
"./data/ssb_converted/explorative.xml_2|4",542,5,2,4,3,22.0
"./data/ssb_converted/explorative.xml_2|5",642,6,2,5,4,22.0
"./data/ssb_converted/explorative.xml_2|6",607,6,1,5,4,656.0
"./data/ssb_converted/explorative.xml_2|7",601,6,1,5,4,654.0
"./data/ssb_converted/explorative.xml_2|8",625,6,1,5,4,659.0
"./data/ssb_converted/explorative.xml_2|9",631,6,1,5,4,651.0
"./data/ssb_converted/explorative.xml_2|10",715,6,2,5,4,548.0
"./data/ssb_converted/explorative.xml_2|11",703,6,2,5,4,562.0
"./data/ssb_converted/explorative.xml_2|12",747,7,2,5,5,549.0
"./data/ssb_converted/explorative.xml_2|13",759,7,2,5,5,548.0
"./data/ssb_converted/explorative.xml_2|14",793,7,3,5,5,160.0
"./data/ssb_converted/explorative.xml_2|15",787,7,3,5,5,164.0
"./data/ssb_converted/explorative.xml_2|16",778,7,3,5,5,144.0
"./data/ssb_converted/explorative.xml_2|17",784,7,3,5,5,154.0
"./data/ssb_converted/explorative.xml_2|18",745,7,2,5,5,142.0
"./data/ssb_converted/explorative.xml_2|19",739,7,2,5,5,143.0
"./data/ssb_converted/explorative.xml_2|20",748,7,2,5,5,159.0
"./data/ssb_converted/explorative.xml_2|21",748,7,2,5,5,159.0
"./data/ssb_converted/explorative.xml_2|22",742,7,2,5,5,160.0
"./data/ssb_converted/explorative.xml_2|23",708,7,1,5,5,550.0
"./data/ssb_converted/explorative.xml_2|24",732,7,1,5,5,547.0
"./data/ssb_converted/explorative.xml_3|2",339,3,1,3,1,379.0
"./data/ssb_converted/explorative.xml_3|3",397,4,1,3,2,153.0
"./data/ssb_converted/explorative.xml_3|4",542,5,2,4,3,23.0
"./data/ssb_converted/explorative.xml_3|5",503,5,1,4,3,29.0
"./data/ssb_converted/explorative.xml_3|6",497,5,1,4,3,174.0
"./data/ssb_converted/explorative.xml_3|7",462,5,0,4,3,6662.0
"./data/ssb_converted/explorative.xml_3|8",562,6,0,5,4,8072.0
"./data/ssb_converted/explorative.xml_3|9",568,6,0,5,4,4101.0
"./data/ssb_converted/explorative.xml_3|10",448,5,0,4,3,1643.0
"./data/ssb_converted/explorative.xml_3|11",448,5,0,4,3,1081.0
"./data/ssb_converted/explorative.xml_3|12",436,5,0,4,3,844.0
"./data/ssb_converted/explorative.xml_3|13",338,4,0,3,2,232.0
"./data/ssb_converted/explorative.xml_3|14",218,3,0,2,1,23.0
"./data/ssb_converted/explorative.xml_3|15",309,4,0,2,2,84.0
"./data/ssb_converted/explorative.xml_3|16",429,5,0,3,3,91.0
"./data/ssb_converted/explorative.xml_3|17",527,6,0,4,4,556.0
"./data/ssb_converted/explorative.xml_3|18",647,7,0,5,5,548.0
"./data/ssb_converted/explorative.xml_3|19",659,7,0,5,5,550.0
"./data/ssb_converted/explorative.xml_3|20",694,7,1,5,5,158.0
"./data/ssb_converted/explorative.xml_3|21",685,7,1,5,5,145.0
"./data/ssb_converted/explorative.xml_3|22",650,7,0,5,5,565.0
"./data/ssb_converted/explorative.xml_3|23",530,6,0,4,4,555.0
"./data/ssb_converted/explorative.xml_3|24",439,5,0,4,3,4669.0
"./data/ssb_converted/explorative.xml_4|1",238,3,0,2,1,23.0
"./data/ssb_converted/explorative.xml_4|2",383,4,1,3,2,22.0
"./data/ssb_converted/explorative.xml_4|3",542,5,2,4,3,22.0
"./data/ssb_converted/explorative.xml_4|4",507,5,1,4,3,650.0
"./data/ssb_converted/explorative.xml_4|5",468,5,0,4,3,1507.0
"./data/ssb_converted/explorative.xml_4|6",507,5,1,4,3,644.0
"./data/ssb_converted/explorative.xml_4|7",608,6,1,5,4,652.0
"./data/ssb_converted/explorative.xml_4|8",642,6,2,5,4,161.0
"./data/ssb_converted/explorative.xml_4|9",584,5,2,5,3,166.0
"./data/ssb_converted/explorative.xml_4|10",674,6,2,5,4,160.0
"./data/ssb_converted/explorative.xml_4|11",665,6,2,5,4,143.0
"./data/ssb_converted/explorative.xml_4|12",723,7,2,5,5,146.0
"./data/ssb_converted/explorative.xml_4|13",633,6,2,5,4,144.0
"./data/ssb_converted/explorative.xml_4|14",599,6,1,5,4,653.0
"./data/ssb_converted/explorative.xml_4|15",498,5,1,4,3,647.0
"./data/ssb_converted/explorative.xml_4|16",459,5,0,4,3,7073.0
"./data/ssb_converted/explorative.xml_4|17",560,6,0,5,4,8625.0
"./data/ssb_converted/explorative.xml_4|18",560,6,0,5,4,9265.0
"./data/ssb_converted/explorative.xml_4|19",599,6,1,5,4,667.0
"./data/ssb_converted/explorative.xml_4|20",634,6,2,5,4,152.0
"./data/ssb_converted/explorative.xml_4|21",643,6,2,5,4,167.0
"./data/ssb_converted/explorative.xml_4|22",643,6,2,5,4,163.0
"./data/ssb_converted/explorative.xml_4|23",604,6,1,5,4,167.0
"./data/ssb_converted/explorative.xml_4|24",484,5,1,4,3,173.0
"./data/ssb_converted/explorative.xml_5|0",302,3,1,2,1,26.0
"./data/ssb_converted/explorative.xml_5|1",218,3,0,2,1,23.0
"./data/ssb_converted/explorative.xml_5|3",263,3,1,2,1,21.0
"./data/ssb_converted/explorative.xml_5|4",383,4,1,3,2,22.0
"./data/ssb_converted/explorative.xml_5|5",542,5,2,4,3,22.0
"./data/ssb_converted/explorative.xml_5|6",507,5,1,4,3,45.0
"./data/ssb_converted/explorative.xml_5|7",495,5,1,4,3,637.0
"./data/ssb_converted/explorative.xml_5|8",595,6,1,5,4,968.0
"./data/ssb_converted/explorative.xml_5|9",556,6,0,5,4,2070.0
"./data/ssb_converted/explorative.xml_5|10",580,6,0,5,4,6424.0
"./data/ssb_converted/explorative.xml_5|11",619,6,1,5,4,649.0
"./data/ssb_converted/explorative.xml_5|12",703,6,2,5,4,556.0
"./data/ssb_converted/explorative.xml_5|13",645,5,2,5,3,551.0
"./data/ssb_converted/explorative.xml_5|14",561,5,1,5,3,630.0
